Q 13000 F 326 H 8
d 326 g 49.17405 5.979926
u 327 g 49.17405 5.979926
f 0 g 11588620 q 666 1332 1332 1999 1999 3332 2665 2665 g 45.658041 5.098972
f 1 g 1941348306 q 46804 65417 55283 73157 85346 83445 98491 73151 g 49.208524 0.710622
f 2 g 2208791 q 806 823 823 1176 1209 1024 1209 1041 g 48.679128 1.541584
f 3 g 22687091 q 2017 3266 3309 4328 3764 4992 4267 3949 g 46.404189 5.793623
f 4 g 4869621 q 816 758 763 1060 1265 1262 1327 1267 g 47.062886 6.60859
f 5 g 114048795 q 5493 10723 5781 7348 11521 11782 11435 12176 g 48.39392 18.00104
f 6 g 35346440 q 3780 5292 5544 8064 7560 7308 8064 6804 g 48.279713 6.962509
f 7 g 14868842 q 2350 3275 3725 3725 5200 5450 5275 4950 g 48.079782 1.341219
f 8 g 18726163 q 3000 3000 3000 4250 4500 4510 4530 4505 g 46.539395 3.34655
f 9 g 4757358 q 750 1000 800 750 1500 1250 1250 1500 g 48.692582 8.120812
f 10 g 51210 q 100 0 0 0 0 0 0 0 g 48.881282 9.081654
f 11 g 136016 q 265 0 0 0 0 0 0 0 g 48.88214 9.08295
f 12 g 1227825 q 179 274 451 165 565 554 585 504 g 49.152867 -0.303713
f 13 g 4396091 q 653 539 549 786 714 886 752 727 g 46.8742 23.782481
f 14 g 780185 q 50 220 150 190 370 440 390 530 g 47.65359 19.64248
f 15 g 189453 q 50 50 50 67 67 84 67 67 g 48.020646 2.719926
f 16 g 46894432936 q 1376929 1718843 1728501 1765037 2458194 2393253 2462150 2550206 g 49.463892 5.855434
f 17 g 16678239584 q 275877 359067 373926 387326 553082 543125 534119 536573 g 47.658214 7.006112
f 18 g 454425 q 100 125 50 125 175 125 175 125 g 48.824918 7.763439
f 19 g 411624948 q 15300 21420 20400 31110 29702 36720 33660 33660 g 47.97551 0.263862
f 20 g 391857794 q 29758 18028 30125 30125 52386 43988 36390 43721 g 49.436826 1.907845
f 21 g 2272268 q 252 504 504 252 504 504 756 504 g 44.100375 1.102168
f 22 g 13445174 q 1766 2583 2599 2515 6182 3932 1583 3932 g 48.37961 18.39684
f 23 g 1254081730 q 25408 38113 38113 38113 63522 62463 46229 61404 g 46.265822 5.655226
f 24 g 2911524 q 814 862 939 987 1284 1409 1159 1237 g 49.444292 1.895861
f 25 g 1052215 q 188 328 328 356 479 487 492 483 g 50.514844 2.465909
f 26 g 4688472 q 0 999 1666 166 1499 1666 1499 1332 g 47.657655 -2.707203
f 27 g 3436426 q 1008 1058 1260 1512 1512 1814 1764 1562 g 48.771545 1.183239
f 28 g 2075628079 q 63295 75675 75355 89055 114352 113853 114066 115066 g 47.971379 3.536335
f 29 g 375976 q 100 150 150 150 150 250 150 200 g 45.477822 4.520643
f 30 g 313010661 q 15966 30669 15403 42968 30893 31604 22432 35759 g 49.186204 6.698376
f 31 g 113606 q 0 12 75 100 50 0 0 12 g 48.93632 7.81602
f 32 g 10878471944 q 286313 403490 392288 427652 572774 580562 573830 579849 g 50.539198 2.989613
f 33 g 41939933 q 3024 4155 5292 5163 6171 7431 7179 6171 g 45.887383 4.815487
f 34 g 3194249 q 767 1174 1265 1009 1773 1690 1675 1682 g 47.363361 0.896954
f 35 g 445843 q 0 150 300 150 300 150 150 300 g 51.582 7.21943
f 36 g 106365528 q 1499 14994 7497 5997 16493 14994 10495 13994 g 51.53436 7.07894
f 37 g 141630 q 25 25 25 50 25 25 25 25 g 48.42121 10.02626
f 38 g 23599411 q 4300 3805 3845 5850 4947 5458 5203 5236 g 52.314586 5.026975
f 39 g 603215 q 200 200 200 200 400 200 400 400 g 51.20769 6.69199
f 40 g 108062 q 25 20 15 25 35 45 20 20 g 45.049032 7.580238
f 41 g 1040136295 q 20561 27835 42846 29708 46827 49906 36245 47264 g 42.8178 -1.75102
f 42 g 8819304 q 1166 1832 1666 1332 2332 2165 2165 2332 g 48.92541 8.96906
f 43 g 81144071 q 1449 9747 5432 4783 11399 10965 6183 10049 g 52.460589 8.385088
f 44 g 2846911 q 50 766 1266 266 1316 1599 1649 933 g 43.311072 -2.460112
f 45 g 107163728 q 5865 7598 7998 7998 9064 11730 11997 11997 g 41.967739 -8.684747
f 46 g 3408493 q 562 375 562 375 562 750 937 562 g 41.764957 -8.582815
f 47 g 37780844 q 3728 2901 2730 3853 6037 6552 4960 6162 g 42.20553 -8.756494
f 48 g 30101304 q 2652 3198 3198 4446 4836 4602 4524 4680 g 41.784207 -8.512585
f 49 g 117692 q 15 15 20 22 27 27 30 27 g 42.292682 -7.817106
f 50 g 21629584 q 2576 3188 3170 4024 6174 10477 10734 6982 g 42.99906 -1.662791
f 51 g 2856822 q 516 538 360 531 24 1091 200 552 g 43.203802 -2.70895
f 52 g 6889667 q 905 760 1025 1075 1350 1265 1545 1140 g 39.563654 -1.925363
f 53 g 3929671308 q 36335 72674 59931 71525 95918 95919 89022 95184 g 41.39199 1.14782
f 54 g 17201171 q 3916 4215 4142 5618 6193 6163 6193 6183 g 43.233524 -2.125498
f 55 g 180700371 q 8409 4455 10106 12385 22646 5530 16132 16050 g 40.11689 -3.65912
f 56 g 183398804 q 8472 10376 12124 13059 13685 14800 15799 15678 g 41.964035 -8.682913
f 57 g 30167050 q 2832 4917 2168 2832 4837 3915 4168 4418 g 40.887214 -8.445778
f 58 g 72947359 q 4394 4988 5896 7308 8894 7788 8797 8230 g 38.086897 -3.659141
f 59 g 1367557973 q 64442 67519 69329 89013 73024 99301 95307 106162 g 48.729522 2.731374
